race,tau,geoid_county
black,0.75,23029
black,1.375,23031
black,1.375,24001
black,1.375,24003
black,2.0,24005
black,0.25,24009
black,1.125,24011
black,0.5,24013
black,0.25,24015
black,2.5,24017
black,1.75,24019
black,1.0,24021
black,0.5,24023
black,0.75,24025
black,0.875,24027
black,0.5,24029
black,0.75,24031
black,2.5,24033
black,0.875,24035
black,0.875,24037
black,0.875,24039
black,0.5,24041
black,0.75,24043
black,2.5,24045
black,2.5,24047
black,2.5,24510
black,0.5,25001
black,0.5,25003
black,0.5,25005
black,0.1,25007
black,0.5,25009
black,0.5,25011
black,1.5,25013
black,0.25,25015
black,0.75,25017
black,0.5,25019
black,0.75,25021
black,0.75,25023
black,2.5,25025
black,0.75,25027
black,0.25,26001
black,0.25,26003
black,0.75,26005
black,0.5,26007
black,2.5,26009
black,1.75,26011
black,2.5,26013
black,0.5,26015
black,0.25,26017
black,0.25,26019
black,1.125,26021
black,0.5,26023
black,0.875,26025
black,0.5,26027
black,0.75,26029
black,2.5,26031
black,0.5,26033
black,0.1,26035
black,0.1,26037
black,0.75,26039
black,0.25,26041
black,2.5,26043
black,0.25,26045
black,0.25,26047
black,2.0,26049
black,2.5,26051
black,0.25,26053
black,0.25,26055
black,0.5,26057
black,0.5,26059
black,1.0,26061
black,0.5,26063
black,0.5,26065
black,1.0,26067
black,1.0,26069
black,0.1,26071
black,0.25,26073
black,0.75,26075
black,0.75,26077
black,0.1,26079
black,2.0,26081
black,0.1,26083
black,0.1,26085
black,0.75,26087
black,0.1,26089
black,1.75,26091
black,0.25,26093
black,0.1,26095
black,0.25,26097
black,1.375,26099
black,2.5,26101
black,0.25,26103
black,1.75,26105
black,1.0,26107
black,0.5,26109
black,0.25,26111
black,0.25,26113
black,0.5,26115
black,0.5,26117
black,1.75,26119
black,2.0,26121
black,1.25,26123
black,0.875,26125
black,2.5,26127
black,0.75,26129
black,0.1,26131
black,0.1,26133
black,0.1,26135
black,2.5,26137
black,0.5,26139
black,2.5,26141
black,1.0,26143
black,1.75,26145
black,0.75,26147
black,0.75,26149
black,0.75,26151
black,0.1,26153
black,0.25,26155
black,0.25,26157
black,0.5,26159
black,1.0,26161
black,2.0,26163
black,0.25,26165
black,0.1,27001
black,1.125,27003
black,0.1,27005
black,0.25,27007
black,0.5,27009
black,2.5,27011
black,0.875,27013
black,2.5,27015
black,1.375,27017
black,1.5,27019
black,1.75,27021
black,0.25,27023
black,2.5,27025
black,0.5,27027
black,1.25,27029
black,0.1,27031
black,1.75,27033
black,0.5,27035
black,0.5,27037
black,0.75,27039
black,2.5,27041
black,0.75,27043
black,2.5,27045
black,0.25,27047
black,1.75,27049
black,2.5,27051
black,1.25,27053
black,0.25,27055
black,2.5,27057
black,0.75,27059
black,0.75,27061
black,2.5,27063
black,1.0,27065
black,0.25,27067
black,0.1,27069
black,0.1,27071
black,0.25,27073
black,2.5,27075
black,1.0,27077
black,2.5,27079
black,0.1,27081
black,0.25,27083
black,0.5,27085
black,2.5,27087
black,0.1,27089
black,0.75,27091
black,0.5,27093
black,0.1,27095
black,0.25,27097
black,0.75,27099
black,0.1,27101
black,0.5,27103
black,0.25,27105
black,0.25,27107
black,0.75,27109
black,0.1,27111
black,0.1,27113
black,0.25,27115
black,0.875,27117
black,0.25,27119
black,0.5,27121
black,0.875,27123
black,0.1,27125
black,1.25,27127
black,0.5,27129
black,1.375,27131
black,2.5,27133
black,0.5,27135
black,0.25,27137
black,0.75,27139
black,0.1,27141
black,0.25,27143
black,0.5,27145
black,0.5,27147
black,0.25,27149
black,0.1,27151
black,0.25,27153
black,0.1,27155
black,1.125,27157
black,0.25,27159
black,0.75,27161
black,0.5,27163
black,0.1,27165
black,0.25,27167
black,0.5,27169
black,0.25,27171
black,0.25,27173
black,2.5,28001
black,0.75,28003
black,0.25,28005
black,0.25,28007
black,0.25,28009
black,1.125,28011
black,0.25,28013
black,1.5,28015
black,0.1,28017
black,0.5,28019
black,0.5,28021
black,0.25,28023
black,1.0,28025
black,2.5,28027
black,0.5,28029
black,1.375,28031
black,2.5,28033
black,2.5,28035
black,0.1,28037
black,0.5,28039
black,2.5,28041
black,2.5,28043
black,0.25,28045
black,1.125,28047
black,2.5,28049
black,0.75,28051
black,0.5,28053
black,1.375,28055
black,0.5,28057
black,2.5,28059
black,0.25,28061
black,0.25,28063
black,0.25,28065
black,2.5,28067
black,0.25,28069
black,0.875,28071
black,1.5,28073
black,2.5,28075
black,0.25,28077
black,0.75,28079
black,2.0,28081
black,1.5,28083
black,1.125,28085
black,2.5,28087
black,2.5,28089
black,0.75,28091
black,0.75,28093
black,2.5,28095
black,0.75,28097
black,1.0,28099
black,0.25,28101
black,1.0,28103
black,0.875,28105
black,1.5,28107
black,2.5,28109
black,0.75,28111
black,2.5,28113
black,1.0,28115
black,0.75,28117
black,0.25,28119
black,2.5,28121
black,0.75,28123
black,1.75,28125
black,0.25,28127
black,0.875,28129
black,1.0,28131
black,2.5,28133
black,1.5,28135
black,0.25,28137
black,0.25,28139
black,0.75,28141
black,0.25,28143
black,1.125,28145
black,0.25,28147
black,1.25,28149
black,2.5,28151
black,0.75,28153
black,0.875,28155
black,0.875,28157
black,0.25,28159
black,0.25,28161
black,2.5,28163
black,0.1,29001
black,0.25,29003
black,0.1,29005
black,0.5,29007
black,0.5,29009
black,0.75,29011
black,0.5,29013
black,0.1,29015
black,2.5,29017
black,0.875,29019
black,0.75,29021
black,0.75,29023
black,0.25,29025
black,2.5,29027
black,0.1,29029
black,0.5,29031
black,0.25,29033
black,2.5,29035
black,0.25,29037
black,2.5,29039
black,0.25,29041
black,2.5,29043
black,0.5,29045
black,0.75,29047
black,0.5,29049
black,1.0,29051
black,0.75,29053
black,0.1,29055
black,0.75,29057
black,2.5,29059
black,0.1,29061
black,0.25,29063
black,1.375,29065
black,2.5,29067
black,0.75,29069
black,0.5,29071
black,2.5,29073
black,2.5,29075
black,0.75,29077
black,0.1,29079
black,0.75,29081
black,0.75,29083
black,0.1,29085
black,2.5,29087
black,0.5,29089
black,0.25,29091
black,0.1,29093
black,2.5,29095
black,0.5,29097
black,0.75,29099
black,0.25,29101
black,0.5,29103
black,0.75,29105
black,0.75,29107
black,0.25,29109
black,0.5,29111
black,0.1,29113
black,0.25,29115
black,0.5,29117
black,0.75,29119
black,0.25,29121
black,0.1,29123
black,0.25,29125
black,0.5,29127
black,0.1,29129
black,0.25,29131
black,1.375,29133
